id,name,ra_deg,dec_deg,mag
35264,,109.28568399,-37.09748689,2.71
89931,,275.24842337,-29.82803914,2.72
97278,,296.56487567,10.61326869,2.72
79593,,243.58652601,-3.69397562,2.73
80331,,245.99794523,61.51407536,2.73
52419,,160.73927802,-64.39447937,2.74
61941,,190.41667557,-1.44952231,2.74
26241,,83.85825475,-5.90989984,2.75
65109,,200.15027321,-36.71208109,2.75
72622,,222.71990536,-16.04161047,2.75
86742,,265.86823714,4.56691684,2.76
23875,,76.96264146,-5.08626282,2.78
80816,,247.55525697,21.4896485,2.78
84345,,258.66192687,14.39025314,2.78
59747,,183.78648733,-58.74890179,2.79
85670,,262.60823708,52.30135901,2.79
76297,,233.78525156,-41.16669497,2.8
25606,,82.06135971,-20.75923214,2.81
81693,,250.32282132,31.60188695,2.81
2021,,6.41334183,-77.25503511,2.82
81266,,248.97066423,-28.21596156,2.82
90496,,276.99278955,-25.42124732,2.82
1067,,3.30895828,15.18361593,2.83
39757,,121.88625899,-24.30443677,2.83
77952,,238.78670013,-63.42974973,2.83
18246,,58.53299363,31.88365776,2.84
85258,,261.32498828,-55.52982397,2.84
85792,,262.96050661,-49.87598159,2.84
17702,,56.87110065,24.10524193,2.85
63608,,195.54483557,10.95910186,2.85
107556,,326.75952199,-16.12656595,2.85
9236,,29.69113269,-61.56992444,2.86
97165,,296.24350878,45.13069195,2.86
30343,,95.73996302,22.51385027,2.87
74946,,229.72787007,-68.67946723,2.87
110130,,334.62574257,-60.25949486,2.87
13847,,44.5654818,-40.30473491,2.88
94141,,287.44097404,-21.02352534,2.88
36188,,111.78780121,8.28940893,2.89
63125,,194.00767051,38.31824617,2.89
78265,,239.71300283,-26.1140428,2.89
18532,,59.46342138,40.01027315,2.9
80112,,245.29717718,-25.59275259,2.9
106278,,322.88966951,-5.57115593,2.9
14328,,46.19912598,53.50645031,2.91
48002,,146.7755734,-65.07201888,2.92
112158,,340.75053573,30.22130866,2.93
32768,,102.48390349,-50.61439973,2.94
60965,,187.4665965,-16.51509397,2.94
109074,,331.44593869,-0.31982656,2.95
18543,,59.50720862,-13.50824471,2.97
26451,,84.41118447,21.14259299,2.97
47908,,146.4629267,23.77427792,2.97
88635,,271.45218586,-30.42365007,2.98
64962,,199.7302224,-23.17141246,2.99
87073,,266.89617137,-40.12698197,2.99
93747,,286.3525518,13.86370983,2.99
10064,,32.38550383,34.98739204,3.0
54539,,167.41608092,44.49855337,3.0
75097,,230.1822884,71.83397308,3.0
82514,,252.96766195,-38.04732717,3.0
108085,,328.48189202,-37.3648229,3.0
17358,,55.7311754,47.7876533,3.01
30122,,95.07827982,-30.06337656,3.02
33977,,105.75613986,-23.83330131,3.02
59316,,182.53135773,-22.61979211,3.02
23416,,75.49222507,43.82331397,3.03
62322,,191.57029013,-68.10809405,3.04
71075,,218.01982421,38.30788348,3.04
95947,,292.68035529,27.9596948,3.05
100345,,305.25269347,-14.78140119,3.05
32246,,100.98304088,25.13115531,3.06
50801,,155.58251355,41.4994335,3.06
94376,,288.13814581,67.66131695,3.07
89642,,274.4072049,-36.76128103,3.1
43813,,133.84868687,5.9455277,3.11
52943,,162.40596699,-16.19413208,3.11
56561,,173.94553448,-63.01982488,3.11
101772,,309.39162365,-47.29166239,3.11
27628,,87.7398034,-35.76929225,3.12
44127,,134.80349479,48.04234956,3.12
83081,,254.65512817,-55.99005508,3.12
84379,,258.75801735,24.83958739,3.12
73334,,224.79041254,-42.10414199,3.13
45860,,140.26441169,34.39252592,3.14
46701,,142.80564072,-57.0343916,3.16
84380,,258.76189282,36.80915527,3.16
31685,,99.44029869,-43.19592394,3.17
46853,,143.21802191,51.67860208,3.17
83895,,257.19677111,65.71463676,3.17
92041,,281.41397083,-26.9907794,3.17
23767,,76.62862102,41.23464074,3.18
71908,,220.62785433,-64.97456957,3.18
22449,,72.45890935,6.96124744,3.19
23685,,76.36521705,-22.37085673,3.19
83000,,254.41779418,9.37505626,3.19
87261,,267.4643802,-37.04337105,3.19
104732,,318.23408977,30.22708128,3.21
116727,,354.83742516,77.63196681,3.21
75141,,230.34306833,-40.64745946,3.22
79882,,244.58016994,-4.69260809,3.23
89962,,275.32883578,-2.897122,3.23
106032,,322.16489595,70.56069481,3.23
32607,,102.04807134,-61.94197988,3.24
99473,,302.82610327,-0.82147569,3.24
36377,,112.3078263,-43.30189129,3.25
68895,,211.59278733,-26.68201883,3.25
73714,,226.01775793,-25.28185602,3.25
93194,,284.73593568,32.68955312,3.25
17678,,56.80929799,-74.23924251,3.26
3092,,9.83165567,30.86122579,3.27
84970,,260.50243371,-24.99948797,3.27
113136,,343.6626635,-15.82075994,3.27
24305,,78.2328046,-16.20542901,3.29
50099,,153.43449551,-70.03792169,3.29
75458,,231.2324337,58.96602354,3.29
21281,,68.49882684,-55.04500559,3.3
51576,,158.0061825,-61.68536031,3.3
29655,,93.71956952,22.50682376,3.31
85267,,261.34858274,-56.37768824,3.31
5165,,16.52127713,-46.71849042,3.32
14354,,46.29373754,38.84053298,3.32
59774,,183.85603795,57.03259792,3.32
84143,,258.038233,-43.23849039,3.32
88048,,269.75665662,-9.77334973,3.32
93864,,286.73517629,-27.66981416,3.32
19780,,63.60596306,-62.47397888,3.33
54879,,168.56017036,15.4297631,3.33
38170,,117.32357809,-24.85978401,3.34
8886,,28.59868107,63.67014686,3.35
25281,,81.11923774,-2.39713844,3.35
32362,,101.3226398,12.89605513,3.35
41704,,127.56679232,60.7184311,3.35
95501,,291.37396941,3.11457923,3.36
75264,,230.67036465,-44.68957314,3.37
43109,,131.6943593,6.41890691,3.38
66249,,203.673978,-0.59593821,3.38
26207,,83.78449043,9.93416294,3.39
50371,,154.27085535,-61.33231977,3.39
63090,,193.90201366,3.39759862,3.39
109492,,332.71359131,58.20124992,3.39
20894,,67.16531219,15.8709468,3.4
6867,,22.0914236,-43.31772906,3.41
18724,,60.17008591,12.49037571,3.41
67464,,207.3762392,-41.68765971,3.41
74395,,228.07167982,-52.09907465,3.41
102422,,311.32195263,61.83679404,3.41
112029,,340.36531181,10.83139111,3.41
8796,,28.27041595,29.57939727,3.42
78384,,240.03058543,-38.39664079,3.42
86974,,266.61549553,27.72249917,3.42
102395,,311.2398153,-66.20323826,3.42
45080,,137.74210535,-58.96693014,3.43
50335,,154.17251805,23.4173284,3.43
93805,,286.56229139,-4.88233456,3.43
50372,,154.27469564,42.91446855,3.45
3821,,12.27125262,57.8165477,3.46
5364,,17.14693197,-10.181928,3.46
38827,,119.19475729,-52.98240062,3.46
74666,,228.87543241,33.31510222,3.46
12706,,40.82551897,3.23617162,3.47
67472,,207.40419934,-42.47368506,3.47
49583,,151.83313948,16.76266572,3.48
81833,,250.72391068,38.92246103,3.48
8102,,26.02136441,-15.93955597,3.49
33856,,105.42979876,-27.93484165,3.49
55219,,169.61981385,33.09423881,3.49
73555,,225.48663804,40.39063671,3.49
90422,,276.74345947,-45.96832919,3.49
112623,,342.13832136,-51.31670354,3.49
32759,,102.46027285,-32.50848752,3.5
35550,,110.0307889,21.98233941,3.5
112724,,342.42046735,66.20071089,3.5
98337,,299.68911516,19.49209287,3.51
112748,,342.5004181,24.60168486,3.51
17378,,55.81231706,-9.76519868,3.52
47508,,145.28799116,9.89239902,3.52
48774,,149.2156452,-54.5677973,3.52
92420,,282.51997462,33.36267788,3.52
93085,,284.43241556,-21.10662433,3.52
109427,,332.54924902,6.197789,3.52
20889,,67.15388879,19.18052092,3.53
40526,,124.12895101,9.18566295,3.53
56343,,173.25107936,-31.85752405,3.54
77516,,237.40527375,-3.43014112,3.54
86263,,264.39677181,-15.39840835,3.54
20042,,64.47341068,-33.79833145,3.55
27288,,86.73895728,-14.82194717,3.55
69996,,214.85096972,-46.05808391,3.55
89937,,275.25974572,72.73369763,3.55
99240,,302.17441713,-66.17932101,3.55
1562,,4.85701265,-8.82382948,3.56
10602,,34.12708452,-51.51211145,3.56
55282,,169.83551103,-14.77904358,3.56
82545,,253.08397295,-38.01747781,3.56
37740,,116.11195237,24.39812929,3.57
44471,,135.90649494,47.15665934,3.57
71053,,217.95774098,30.37114497,3.57
75177,,230.45181856,-36.26116729,3.57
35350,,109.52336162,16.54047526,3.58
100064,,304.5134103,-12.54485877,3.58
7607,,24.49792651,48.62848641,3.59
24674,,79.40166225,-6.84438616,3.59
27072,,86.11656241,-22.44748663,3.59
57757,,177.67202553,1.76537705,3.59
60260,,185.34088036,-60.40136988,3.59
6537,,21.00604671,-8.18275372,3.6
33018,,103.1972503,33.96136985,3.6
42536,,130.07337168,-52.92197259,3.6
46651,,142.67547063,-40.46688763,3.6
76470,,234.25607748,-28.13507099,3.6
85727,,262.77490395,-60.68360667,3.6
13209,,42.49578911,27.26079044,3.61
15900,,51.20349011,9.02906504,3.61
49841,,152.64748785,-12.35383921,3.61
63613,,195.56573968,-71.54879865,3.61
86929,,266.43334347,-64.7237345,3.61
7097,,22.87080776,15.34583101,3.62
17847,,57.29054669,24.05352412,3.62
37819,,116.31376631,-37.96859848,3.62
82729,,253.64627156,-42.36075916,3.62
113726,,345.48019377,42.32597866,3.62
57363,,176.40236386,-66.72884344,3.63
101769,,309.38695734,14.59520289,3.64
20205,,64.94805793,15.62770031,3.65
46733,,142.88154025,63.06179545,3.65
77233,,236.54672877,15.42192602,3.65
88714,,271.65782832,-50.09145462,3.65
110960,,337.20750231,-0.02006304,3.65
75695,,231.95771631,29.10549164,3.66
76600,,234.66410153,-29.77768935,3.66
68756,,211.09760837,64.37580873,3.67
103227,,313.70241509,-58.4540947,3.67
22549,,72.80152507,5.60510146,3.68
42828,,130.89811451,-33.18641133,3.68
97365,,296.84693842,18.53425912,3.68
114341,,347.36150879,-21.17248555,3.68
2920,,9.24277921,53.89693161,3.69
9007,,28.98680207,-51.60958673,3.69
23453,,75.61950025,41.07588953,3.69
47854,,146.31178147,-62.50792328,3.69
57399,,176.51305887,47.77933701,3.69
106985,,325.02225935,-16.66225343,3.69
15474,,49.87904033,-21.7579421,3.7
87933,,269.44096106,29.24792527,3.7
114971,,349.28955677,3.28224524,3.7
22797,,73.5628985,2.44067149,3.71
28103,,89.10132627,-14.16803805,3.71
38414,,118.05435622,-40.57579889,3.71
77622,,237.70371344,4.4775798,3.71
88771,,271.8375861,9.56365345,3.71
98036,,298.82819233,6.40793334,3.71
16537,,53.23509009,-9.45830584,3.72
17499,,56.21884811,24.1134484,3.72
28358,,89.88145972,54.28498197,3.72
104060,,316.23273251,43.92785122,3.72
16083,,51.79217049,9.7327724,3.73
72220,,221.56246594,1.8929383,3.73
87585,,268.38178961,56.87245216,3.73
107089,,325.36863801,-77.38946215,3.73
112961,,343.15360192,-7.57967878,3.73
8645,,27.86504416,-10.33494526,3.74
80170,,245.48018203,19.15302185,3.74
104887,,318.69727757,38.04432043,3.74
44511,,136.03883562,-47.09771376,3.75
87108,,266.97322515,2.70745875,3.75
26069,,83.40631813,-62.48985585,3.76
27654,,87.82980343,-20.87751376,3.76
30867,,97.20447548,-7.03305042,3.76
93683,,286.17055765,-21.74135451,3.76
95853,,292.42641389,51.72946747,3.76
111169,,337.82239898,50.28244976,3.76
13268,,42.67413655,55.89552955,3.77
17529,,56.29851422,42.57854437,3.77
20455,,65.73344722,17.5425843,3.77
26549,,84.68652211,-2.60006791,3.77
41312,,126.43435936,-66.13652042,3.77
42570,,130.15656369,-46.64875492,3.77
82363,,252.44629764,-59.04131648,3.77
101958,,309.90939395,15.9120527,3.77
105881,,321.66678212,-22.41137838,3.77
109176,,331.75197729,25.3450461,3.77
34481,,107.18676883,-70.49919435,3.78
36046,,111.43198371,27.79828561,3.78
48319,,147.74871542,59.03910437,3.78
53253,,163.3731926,-58.85326474,3.78
71795,,220.28716819,13.72833113,3.78
102618,,311.91888574,-9.49568988,3.78
14668,,47.37345463,44.85788896,3.79
53229,,163.32766612,34.21556641,3.79
14879,,48.01783332,-28.98910623,3.8
37229,,114.70783872,-26.8038924,3.8
76276,,233.7007926,10.53885916,3.8
94779,,289.27545794,53.36816064,3.8
99675,,303.40792782,46.74132417,3.8
21393,,68.88779874,-30.56231049,3.81
51232,,156.96977108,-58.73940856,3.81
76952,,235.68599269,26.29551419,3.81
116584,,354.3904487,46.45917621,3.81
9487,,30.51166929,2.76376048,3.82
45688,,139.71111394,36.80289763,3.82
56211,,172.85120199,69.33112161,3.82
80883,,247.72850509,1.98410056,3.82
86414,,264.86621847,46.00632216,3.82
51069,,156.52293768,-16.83609584,3.83
68245,,209.56785278,-42.10070526,3.83
72370,,221.96552567,-79.04471242,3.83
17440,,56.04814541,-64.80709398,3.84
17448,,56.07969347,32.28827325,3.84
20885,,67.14346805,15.96221721,3.84
43783,,133.76192355,-60.64471195,3.84
51624,,158.20281305,9.30659431,3.84
51986,,159.32606984,-48.22561631,3.84
61199,,188.11712896,-72.1329759,3.84
88794,,271.88562824,28.76247025,3.84
89341,,273.44086963,-21.05883031,3.84
97433,,297.04255658,70.26783533,3.84
19747,,63.5003388,-42.29387294,3.85
27321,,86.82118054,-51.06671329,3.85
30277,,95.52852147,-33.43627251,3.85
50191,,153.68447399,-42.12206281,3.85
61281,,188.37101041,69.78820992,3.85
61622,,189.42636588,-48.54128816,3.85
78072,,239.11247598,15.66473327,3.85
90139,,275.92402821,21.77034249,3.85
91117,,278.80182442,-8.24330819,3.85
4436,,14.18790699,38.49925513,3.86
21594,,69.54529558,-14.303587,3.86
25859,,82.8030645,-35.47043592,3.86
79664,,243.85944228,-63.68564897,3.86
81065,,248.36443409,-78.89695917,3.86
87808,,269.06324389,37.25052158,3.86
110395,,335.41374983,-1.38735315,3.86
17573,,56.45663804,24.36785796,3.87
43023,,131.50689464,-46.0415392,3.87
68282,,209.6698807,-44.8035314,3.87
71957,,220.76484284,-5.6574291,3.87
78104,,239.22119438,-29.21401221,3.87
97804,,298.11818257,1.00567827,3.87
765,,2.35224949,-45.74698836,3.88
8832,,28.38235506,19.29409264,3.88
48455,,148.19149028,26.00708498,3.88
74376,,227.98400434,-48.73770212,3.88
114421,,347.58928308,-45.24664747,3.88
13701,,44.10668245,-8.89760976,3.89
33152,,103.53314518,-24.18422296,3.89
45336,,138.59080529,2.31502422,3.89
60129,,184.97663096,-0.66674709,3.89
98110,,299.07665069,35.08349079,3.89
47431,,144.96389156,-1.14265722,3.9
55425,,170.25184266,-54.49101395,3.9
65936,,202.76111861,-39.40727983,3.9
18907,,60.78907003,5.98930909,3.91
41307,,126.41529546,-3.90636482,3.91
60823,,187.01004828,-50.2306048,3.91
73807,,226.27960699,-47.05119386,3.91
76333,,233.88141398,-14.78955365,3.91
79992,,244.93519958,46.31327084,3.91
83207,,255.07252582,30.92633926,3.92
95168,,290.41823037,-17.84725155,3.92
104987,,318.95581976,5.2480739,3.92
2072,,6.55048418,-43.67990933,3.93
7083,,22.81242306,-49.07307701,3.93
13531,,43.564427,52.76248991,3.93
21444,,69.07975243,-3.352448,3.93
37504,,115.45498347,-72.60613528,3.93
54463,,167.14748181,-58.97504198,3.93
78933,,241.70180197,-20.66913479,3.93
88192,,270.16131466,2.93158759,3.93
5348,,17.0960837,-55.24583235,3.94
37447,,115.31198612,-9.55108315,3.94
37677,,115.95196716,-28.9548352,3.94
42911,,131.17129209,18.15486399,3.94
103413,,314.29338184,41.16719384,3.94
9598,,30.85912643,72.42123962,3.95
31592,,99.17082883,-19.25570928,3.95
19343,,62.16530527,47.71259359,3.96
28328,,89.78662719,-42.81510761,3.96
44248,,135.16146765,41.78344401,3.96
45101,,137.81986611,-62.31701587,3.96
95241,,290.65952718,-44.45891013,3.96
95347,,290.97146411,-40.61564629,3.96
99848,,303.8679927,47.7142053,3.96
115438,,350.7429228,-20.10034505,3.96
20535,,66.00902233,-34.01698632,3.97
27673,,87.87246934,39.14847936,3.97
35228,,109.20762844,-67.95717248,3.97
42515,,130.02556894,-35.30830091,3.97
59449,,182.9131309,-52.36841559,3.97
77634,,237.7397573,-33.62710488,3.97
98495,,300.14747226,-72.91018443,3.97
110997,,337.31730866,-43.49555433,3.97
112440,,341.63267663,23.56567939,3.97
18614,,59.74124892,35.79102701,3.98
106481,,323.49530361,45.59206564,3.98
9347,,30.0009367,-21.07777193,3.99
29651,,93.71390194,-6.27472737,3.99
50954,,156.09891874,-74.03154474,3.99
65477,,201.30589832,54.98799884,3.99
114996,,349.35755018,-58.23592762,3.99
44382,,135.61166181,-66.39584369,4.0
55642,,170.98070334,10.52969772,4.0
79374,,242.99891879,-19.46064684,4.0
8068,,25.9150637,50.6887655,4.01
22109,,71.37558764,-3.25462465,4.01
34088,,106.02723079,20.57029939,4.01
35037,,108.70275679,-26.77268601,4.01
71865,,220.49005323,-37.79342394,4.01
78527,,240.4737656,58.56443739,4.01
80000,,244.96069832,-50.15537923,4.01
91792,,280.75889095,-71.42772867,4.01
101076,,307.348879,30.36855661,4.01
43409,,132.63338051,-27.71005869,4.02
59199,,182.10313607,-24.72877993,4.02
93244,,284.90578844,15.06847757,4.02
93429,,285.42017236,-5.73901832,4.02
10670,,34.32848216,33.84732099,4.03
23522,,75.854572,60.44228144,4.03
43103,,131.67430955,28.76000509,4.03
63003,,193.64857337,-57.17789116,4.03
88601,,271.36338682,2.50243928,4.03
101421,,308.30318657,11.30333217,4.03
118268,,359.82750994,6.86359373,4.03
19587,,62.96638834,-6.8377787,4.04
57380,,176.46487734,6.52981394,4.04
70497,,216.30008064,51.85171354,4.04
111497,,338.83887054,-0.11736123,4.04
14632,,47.26201363,49.61350009,4.05
40702,,124.6302785,-76.91998251,4.05
42884,,131.09985828,-42.64932331,4.05
55434,,170.28436733,6.02935289,4.05
67459,,207.36957439,15.79780583,4.05
70090,,215.13949709,-37.88526711,4.05
71536,,219.47187965,-49.42575765,4.05
112716,,342.39795761,-13.59253756,4.05
22957,,74.09300449,13.51457755,4.06
36962,,113.98071783,26.89600343,4.06
55705,,171.22076335,-17.68401748,4.06
59929,,184.39431802,-67.96067161,4.06
60009,,184.609553,-64.00304555,4.06
72010,,220.91451458,-35.17322549,4.06
83153,,254.89602773,-53.16049005,4.06
69701,,214.00368717,-5.99952622,4.07
74117,,227.21095653,-45.27979406,4.07
74824,,229.3790009,-58.80087882,4.07
110991,,337.29269975,58.4151899,4.07
3693,,11.83495908,24.26737703,4.08
11001,,35.43759585,-68.6594239,4.08
12387,,39.87061789,0.3285168,4.08
14146,,45.59830468,-23.62433613,4.08
33160,,103.54783633,-12.03859273,4.08
46974,,143.61109601,-59.22976797,4.08
53740,,164.94478664,-18.29909723,4.08
92862,,283.8336882,43.9458926,4.08
104139,,316.48658082,-17.23271095,4.08
105502,,320.52139118,19.80435581,4.08
26366,,84.22637775,9.291412,4.09
77450,,237.18503586,18.1417793,4.09
7513,,24.19990413,41.40638491,4.1
12777,,41.04869991,49.22866639,4.1
38164,,117.30957923,-46.37322729,4.1
90568,,277.20723319,-49.07003097,4.1
94160,,287.50730185,-39.34070677,4.1
12486,,40.16638213,-39.85530905,4.11
34045,,105.93955493,-15.63325876,4.11
42312,,129.41100573,-42.98910371,4.11
48356,,147.86951033,-14.84654997,4.11
51839,,158.86757668,-78.60781379,4.11
57439,,176.62853753,-61.17835907,4.11
76440,,234.17994543,-66.31690469,4.11
94114,,287.36782635,-37.90423953,4.11
113638,,345.22030979,-52.75410562,4.11
12394,,39.8967653,-68.2669476,4.12
19812,,63.72440722,48.40937312,4.12
28614,,90.59579323,9.64736756,4.12
58948,,181.30279,8.73284563,4.12
98032,,298.81532954,-41.8684135,4.12
102978,,312.95540084,-26.91912642,4.12
111043,,337.4393561,-43.74922804,4.12
25247,,80.98681839,-7.80795569,4.13
30883,,97.24079361,20.2121672,4.13
77853,,238.45615438,-16.7296223,4.13
102485,,311.52402547,-25.27051682,4.13
112405,,341.51551393,-81.38161731,4.13
116771,,354.98675133,5.62735374,4.13
16369,,52.71819576,12.93668186,4.14
17608,,56.58150135,23.94846207,4.14
42313,,129.41419739,5.70379868,4.14
59072,,181.72022021,-64.61363898,4.14
76127,,233.23248309,31.35915517,4.14
78159,,239.39709121,26.87802632,4.14
107354,,326.16126755,25.64500284,4.14
109937,,333.9923757,37.74873483,4.14
34769,,107.96608486,-0.49278056,4.15
85112,,260.92072033,37.14592396,4.15
116805,,355.10184089,44.33397776,4.15
28734,,91.0300689,23.26363207,4.16
36366,,112.27754045,31.78407932,4.16
85340,,261.59257241,-24.17502346,4.16
2599,,8.24994391,62.93178781,4.17
17874,,57.36367035,-36.2001125,4.17
110003,,334.20819329,-7.78323706,4.17
69427,,213.22392088,-10.274044,4.18
69732,,214.09656821,46.08791894,4.18
81304,,249.09358718,-35.25535553,4.18
109857,,333.75699582,57.04346522,4.18
111954,,340.16385653,-27.0436148,4.18
67457,,207.36146356,-34.45063035,4.19
92043,,281.4155466,20.54712356,4.19
25813,,82.69603301,5.94821792,4.2
38835,,119.21482616,-22.88014849,4.2
51233,,156.97121865,36.70747818,4.2
81126,,248.52578863,42.43689565,4.2
112447,,341.67267295,12.17408381,4.2
113246,,343.98705005,-32.53970196,4.2
16228,,52.26722684,59.94033461,4.21
20635,,66.34207825,22.29398098,4.21
82080,,251.49233961,82.03725071,4.21
101093,,307.39511383,62.99413722,4.21
105858,,321.61038385,-65.36814438,4.21
13254,,42.64547584,38.31890838,4.22
17651,,56.71245432,-23.248438,4.22
38518,,118.32567862,-48.10294824,4.22
78918,,241.64815129,-36.80221297,4.22
80569,,246.75599294,-18.45619698,4.22
89908,,275.18933831,71.33772734,4.22
92175,,281.79365558,-4.74782871,4.22
92609,,283.05431892,-62.18756062,4.22
92791,,283.62620294,36.89860518,4.22
102453,,311.41566302,30.7196568,4.22
105102,,319.35396892,39.39469016,4.22
114724,,348.58055219,-6.0485268,4.22
1599,,5.00797581,-64.8776232,4.23
37629,,115.82785545,28.8840717,4.23
64394,,197.97051117,27.87603769,4.23
67153,,206.42319432,-33.04336606,4.23
68520,,210.41159648,1.54458338,4.23
79101,,242.19249715,44.93481883,4.23
81852,,250.7725818,-77.51657182,4.23
93825,,286.60433158,-37.06275714,4.23
107259,,325.87689561,58.78005308,4.23
107533,,326.69835794,49.3095748,4.23
5372,,17.18399735,86.25711803,4.24
11407,,36.74627081,-47.70382692,4.24
12770,,41.03064356,-13.85867594,4.24
60000,,184.58726633,-79.31226899,4.24
61317,,188.43788561,41.35676779,4.24
80911,,247.84558957,-34.70432087,4.24
86565,,265.35381884,-12.87517268,4.24
114855,,348.97198728,-9.08769554,4.24
5896,,18.93956391,-68.87623708,4.25
19167,,61.64606374,50.35135022,4.25
21402,,68.91347315,10.16091706,4.25
21476,,69.17264013,41.26485467,4.25
23972,,77.28659571,-8.75407607,4.25
41075,,125.70887544,43.18837233,4.25
62896,,193.35894159,-40.17881857,4.25
70692,,216.88134383,75.69593921,4.25
107418,,326.36220534,61.12081043,4.25
5434,,17.37550908,47.2418241,4.26
8198,,26.34828629,9.15764102,4.26
15510,,49.97177014,-43.07154929,4.26
16611,,53.44686638,-21.63281597,4.26
19893,,64.00621426,-51.48709578,4.26
22783,,73.51254425,66.34266029,4.26
44066,,134.62165408,11.85777198,4.26
86170,,264.13686148,-38.63486521,4.26
88267,,270.37667886,21.59568814,4.26
108917,,330.94650782,64.62775425,4.26
